City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
148,Norman Wells,CA,65.282,-126.8329,-21.96,76,20,4.61,few clouds
149,Svetlaya,RU,46.5389,138.3297,12.04,48,0,7.02,clear sky
150,Dutse,NG,11.7594,9.3392,70.34,26,0,9.28,clear sky
151,Alofi,NU,-19.0595,-169.9187,85.89,70,69,8.05,broken clouds
152,Albanel,CA,48.8832,-72.4487,19.54,79,100,8.05,overcast clouds
153,Waingapu,ID,-9.6567,120.2641,85.12,63,98,5.7,overcast clouds
154,Dicabisagan,PH,17.0818,122.4157,81.82,76,92,5.93,moderate rain
155,Bratsk,RU,56.1325,101.6142,3.69,88,87,9.62,overcast clouds
156,Yar-Sale,RU,66.8333,70.8333,18.55,88,100,11.63,overcast clouds
157,Rio Gallegos,AR,-51.6226,-69.2181,55.45,35,20,14.97,few clouds
158,Chara,RU,56.9064,118.2631,0.9,83,100,5.73,overcast clouds
159,Iqaluit,CA,63.7506,-68.5145,28.13,100,100,0.0,light snow
160,Port Elizabeth,ZA,-33.918,25.5701,61.09,97,100,10.36,shower rain
161,Brigantine,US,39.4101,-74.3646,39.02,74,0,1.99,clear sky
162,Matamoros,MX,25.5333,-103.25,68.36,49,79,2.24,broken clouds
163,Grindavik,IS,63.8424,-22.4338,39.67,81,100,9.22,overcast clouds
164,Washougal,US,45.5826,-122.3534,36.28,93,100,20.71,overcast clouds
165,Turukhansk,RU,65.8167,87.9833,15.91,96,100,11.21,light snow
166,Arinos,BR,-15.9169,-46.1056,68.54,95,96,1.81,overcast clouds
167,Ocean City,US,39.2776,-74.5746,38.98,72,0,1.99,clear sky
168,New Norfolk,AU,-42.7826,147.0587,53.91,67,100,4.0,overcast clouds
169,General Roca,AR,-39.0333,-67.5833,74.62,16,0,4.25,clear sky
170,Mar Del Plata,AR,-38.0023,-57.5575,65.08,89,0,6.91,clear sky
171,Caraguatay,AR,-26.6059,-54.7809,70.77,95,43,1.39,scattered clouds
172,Lasem,ID,-6.6922,111.4527,84.18,72,97,4.47,light rain
173,Wodonga,AU,-36.1167,146.8833,68.95,100,100,7.54,light rain
174,Saskylakh,RU,71.9167,114.0833,-10.32,96,100,14.65,overcast clouds
175,Bonavista,CA,48.6499,-53.1147,37.71,83,94,27.2,light rain
176,Nizhniye Sergi,RU,56.6614,59.3033,8.37,98,98,3.85,overcast clouds
177,Port Blair,IN,11.6667,92.75,82.44,83,75,8.05,broken clouds
178,Klaksvik,FO,62.2266,-6.589,38.32,76,96,15.5,overcast clouds
179,Igarka,RU,67.4667,86.5833,24.37,93,100,17.6,light snow
180,Faya,SA,18.3851,42.4509,50.11,83,0,3.31,clear sky
181,Bathsheba,BB,13.2167,-59.5167,75.81,95,20,5.75,light rain
182,Santa Maria,BR,-29.6842,-53.8069,67.3,100,0,4.61,clear sky
183,Fortuna Foothills,US,32.6578,-114.4119,64.49,84,0,4.61,clear sky
184,Vila Franca Do Campo,PT,37.7167,-25.4333,57.61,78,91,3.76,overcast clouds
185,Union,US,40.6334,-74.2663,42.89,66,0,6.91,clear sky
186,Mineros,BO,-17.1167,-63.2333,80.33,48,63,2.33,broken clouds
187,Batouri,CM,4.4333,14.3667,68.2,47,8,1.39,clear sky
188,Airai,TL,-8.9266,125.4092,77.63,34,96,1.61,overcast clouds
189,Lebu,CL,-37.6167,-73.65,55.67,88,1,11.45,clear sky
190,Aquiraz,BR,-3.9014,-38.3911,81.18,80,44,15.97,scattered clouds
191,Provideniya,RU,64.3833,-173.3,32.36,93,100,25.01,rain and snow
192,Coquimbo,CL,-29.9533,-71.3436,60.53,94,75,4.61,broken clouds
193,Mahibadhoo,MV,3.7833,72.9667,79.45,79,86,6.49,overcast clouds
194,Wuxi,CN,31.5689,120.2886,43.99,67,100,11.21,overcast clouds
195,Viedma,AR,-40.8135,-62.9967,63.07,50,61,17.05,broken clouds
196,Dubbo,AU,-32.25,148.6167,86.13,28,2,11.5,clear sky
197,Znamenskoye,RU,57.1281,73.8282,-11.18,99,19,2.73,few clouds
198,Dikson,RU,73.5069,80.5464,29.01,87,100,19.82,overcast clouds
199,Ruteng,ID,-8.6136,120.4721,75.31,62,92,1.01,overcast clouds
200,Pochutla,MX,15.7432,-96.4661,78.82,69,0,3.06,clear sky
201,Smithers,CA,54.7804,-127.1743,8.92,72,20,3.44,few clouds
202,Iwaki,JP,37.05,140.8833,43.77,69,100,1.01,overcast clouds
203,Iquira,CO,2.6487,-75.6346,65.64,93,100,2.95,overcast clouds
204,Deputatskiy,RU,69.3,139.9,-15.16,98,100,3.67,overcast clouds
205,Kem,RU,64.9555,34.5793,21.52,94,100,7.45,overcast clouds
206,Namibe,AO,-15.1961,12.1522,69.49,82,100,3.18,overcast clouds
207,Rayong,TH,12.8333,101.4333,81.28,73,95,7.85,overcast clouds
208,Sulangan,PH,11.1373,123.7228,79.74,83,100,10.8,overcast clouds
209,Cidreira,BR,-30.1811,-50.2056,71.55,94,72,3.69,broken clouds
210,Hami,CN,42.8,93.45,23.38,43,70,3.58,broken clouds
211,Denpasar,ID,-8.65,115.2167,85.71,74,40,4.61,scattered clouds
212,Necochea,AR,-38.5473,-58.7368,58.35,91,7,6.22,clear sky
213,Hammerfest,NO,70.6634,23.6821,27.05,74,75,9.22,light snow
214,Bloemfontein,ZA,-29.1211,26.214,63.88,42,100,6.91,overcast clouds
215,Bredasdorp,ZA,-34.5322,20.0403,55.24,76,14,3.8,few clouds
216,Caravelas,BR,-17.7125,-39.2481,73.56,75,100,6.58,overcast clouds
217,Maceio,BR,-9.6658,-35.7353,74.64,94,100,4.61,light rain
218,Henties Bay,NA,-22.116,14.2845,57.43,92,8,5.35,clear sky
